address,latitude,longitude,name,tel1,tel2
谢家湾正街47号附46号,29.516828,106.516999,千鼎租车,023-86763999,
华岩寺路20号附近,29.493353,106.448307,久航租车,,
红锦大道567号米格尔酒店,29.606132,106.518704,米格尔·宜嘉酒店-租车服务,023-67622000,
港城东环路6,29.628181,106.664333,盼达用车(寸滩港城东路店),,
青龙路291号西南70米,30.931172,108.695255,顺意汽车租赁,023-55119886,18523291133
科城路166号协信彩云湖1号3期附近,29.512713,106.478465,婚庆租车,,
跃进路北50米,29.494630,106.493084,铄灵租车,,
江北国际机场T2航站楼对面,29.719203,106.635231,盼达用车,,
火炬一路,29.503287,106.488233,飞浩租车,,
金源路64号附12号,29.560663,106.529578,地中装网约车,023-68821192,
八一路218号雅地天际18层,29.555580,106.576942,华厦汽车租赁有限公司票务中心,,
长福路179号,29.679717,106.593482,同舟汽车租赁(渝北项目部),13883151807,18183110168
三湾路16号附25号2-37,29.568685,106.515589,共资租车,023-67115123,15223280180
人民西路1号AC世纪城5幢,29.349765,105.930076,鼎炫汽车租赁公司,023-49888123,
白鹤路渝南二手车市场B29,29.516592,106.546087,一笑汽车服务有限公司,17823999311,
新溉大道251号(力帆棠悦售楼中心对面),29.600470,106.536642,盼达用车(力帆棠悦),,
桃园路160号附146号,29.513385,106.547542,名尚汽车租赁,023-62390089,
马王乡龙泉村55号附1号,29.496145,106.483894,赛维斯汽车服务有限公司,,
白鹤路美全世纪城4.5栋1-33,29.516119,106.547759,途安租车,023-62770700,
西郊路附近,29.491798,106.502965,启顺租车,,
金渝大道56号附96号,29.645242,106.564700,陆航租车,023-63421366,15922910299
杨家坪西城天街A座25层13号,29.510261,106.517956,重庆灵宇汽车租赁有限公司,18680811197,
红锦大道57号嘉州协信中心B栋617,29.589336,106.524078,重庆车佳汇汽车租赁有限公司,023-81304031,
龙州大道10号(风花树)红绿灯旁,29.386434,106.537160,艾宜租车,,
红黄路90号中北商务大楼B座6层,29.585935,106.532228,重庆市出租汽车有限责任公司汽车租赁,023-67525800,
公园北路230号附7号,29.394300,106.539994,百分百租车,17783852717,
欧簏花圆剑桥郡,29.461496,106.622814,满天星,13308336203,
龙洲大道,29.405371,106.537015,颂车小站(05016),,
金剑路500号14幢13号(原杜鹃6栋13号),29.560871,106.230015,乐用租车(璧山店),023-41463446,17723536423
云锦路307附18号附近,29.372458,106.503678,众慕租车,,
龙头寺天宫大道97号附22号,29.600867,106.551066,尚益达租车(龙头寺分店),023-67880076,023-60368615
